id,adresse,quartier,type_bien,surface,prix,prix_m2,annee,etat,date_vente
178,Chemin du Coq-d'Inde 10e,Cologny,Maison individuelle,260.0,1950000,7500,2026,,2026
179,Route de Pressy 7,Vandoeuvres,Maison individuelle,6384.0,33000000,5169,2026,,2026
180,Route de Vandoeuvres 20e,Cologny,Maison individuelle,73.0,600000,8219,2025,,2025
181,Route de Vandoeuvres 20,Cologny,Maison individuelle,262.0,2320000,8855,2025,,2025
182,Route de Vandoeuvres 20b,Cologny,Maison individuelle,175.0,1880000,10743,2025,,2025
183,Chemin des Buclines 10b,Chêne-Bougeries,Maison individuelle,250.0,2850000,11400,2025,,2025
184,Route de la-Capite 138a,Vandoeuvres,Maison individuelle,1117.0,5700000,5103,2025,,2025
185,Route de Vandoeuvres 20d,Cologny,Maison individuelle,176.0,2000000,11364,2025,,2025
186,Chemin de la Sapinière 1,Vandoeuvres,Maison individuelle,2088.0,17500000,8381,2024,,2024
187,Chemin des Falquets 59,Cologny,Maison individuelle,2423.0,17229712,7111,2024,,2024
188,Chemin de Lulasse 29,Vandoeuvres,Maison individuelle,942.0,5850000,6210,2024,,2024
189,Chemin de Lulasse 31,Vandoeuvres,Maison individuelle,936.0,5650000,6036,2022,,2022
190,Chemin des Hauts-Crêts 126,Vandoeuvres,Maison individuelle,1941.0,13800000,7110,2024,,2024
191,Chemin des Princes 33a,Choulex,Maison individuelle,412.0,4850000,11772,2025,,2025
192,Chemin de l'Ecorcherie 31c,Vandoeuvres,Maison individuelle,585.0,4800000,8205,2025,,2025
193,Chemin Morin 10a,Vandoeuvres,Maison individuelle,435.0,4800000,11034,2025,,2025
194,Route de Chêne 123c,Chêne-Bougeries,Maison individuelle,293.0,2400000,8191,2023,,2023
195,Chemin de Ruth 122d,Cologny,Maison individuelle,567.0,4130000,7284,2026,,2026
196,Chemin du Mont-Blanc 24,Chêne-Bougeries,Maison individuelle,594.0,4000000,6734,2024,,2024
197,Chemin du Mont-Blanc 26,Chêne-Bougeries,Maison individuelle,558.0,3800000,6810,2021,,2021
198,Chemin de Ruth 122c,Cologny,Maison individuelle,522.0,3700000,7088,2021,,2021
199,Chemin du Mont-Blanc 3a,Chêne-Bougeries,Maison individuelle,694.5,3600000,5184,2024,,2024
200,Chemin de la Gradelle 25,Cologny,Maison individuelle,216.0,2825000,13079,2023,,2023
201,Route de Vandoeuvres 20e,Cologny,Maison individuelle,292.0,2350000,8048,2023,,2023
202,Chemin Morin 18,Vandoeuvres,Maison individuelle,493.0,3050000,6187,2024,,2024
203,Chemin des Buclines 12b,Chêne-Bougeries,Maison individuelle,414.0,2975000,7186,2025,,2025
204,Chemin David-Munier 20c,Cologny,Maison individuelle,488.0,2890000,5922,2025,,2025
205,Chemin des Buclines 10a,Chêne-Bougeries,Maison individuelle,125.0,1160000,9280,2022,,2022
206,Chemin de Grange-Falquet 51,Chêne-Bougeries,Maison individuelle,366.0,2690000,7350,2023,,2023
207,Chemin de Couvaloux 12,Chêne-Bougeries,Maison individuelle,481.0,2550000,5301,2026,,2026
208,Chemin de la Cocuaz 23c,Vandoeuvres,Maison individuelle,349.0,2420000,6934,2024,,2024
209,Chemin du Petit-Pont 7,Chêne-Bougeries,Maison individuelle,366.0,2310000,6311,2024,,2024
210,Chemin du Coq-d'Inde 13,Cologny,Maison individuelle,321.0,2005000,6246,2025,,2025
211,Chemin du Villaret 9,Chêne-Bougeries,Maison individuelle,361.0,1950000,5402,2023,,2023
212,Route Jean-Jacques-Rigaud 24ter,Chêne-Bougeries,Maison individuelle,330.0,1900000,5758,2023,,2023
213,Chemin de la Gradelle 15,Cologny,Maison individuelle,248.0,3400000,13710,2021,,2021
214,Chemin Saladin 7b,Chêne-Bougeries,Maison individuelle,282.0,1850000,6560,2021,,2021
215,Chemin de Conches 17bis,Chêne-Bougeries,Maison individuelle,2632.0,14200000,5395,2025,,2025
216,Avenue Jacques-Martin 17,Chêne-Bougeries,Maison individuelle,2445.0,14000000,5726,2024,,2024
217,Clos-Belmont 9,Eaux-Vives,Maison individuelle,1771.0,9302500,5253,2023,,2023
218,Chemin du Port-Noir 8,Eaux-Vives,Maison individuelle,1571.0,16400000,10439,2023,,2023
219,Rue Agasse 52,Eaux-Vives,Maison individuelle,1586.0,8100000,5107,2023,,2023
220,Chemin Naville 48,Chêne-Bougeries,Maison individuelle,2098.0,16400000,7817,2022,,2022
221,Chemin de Grange-Bonnet 16,Chêne-Bougeries,Maison individuelle,2283.0,12100000,5300,2020,,2020
222,Route de Lausanne 244,Pregny-Chambésy,Maison individuelle,4603.0,42253000,9179,2025,,2025
223,Route de Suisse 304,Céligny,Maison individuelle,2405.0,15500000,6445,2023,,2023
224,Chemin du Port 32,Céligny,Maison individuelle,3354.0,24000000,7156,2022,,2022
225,Route de Lausanne 358,Genthod,Maison individuelle,2060.0,16600000,8058,2021,,2021
226,Chemin du Pré-d'Orsat 49,Collonge-Bellerive,Maison individuelle,1281.0,6600000,5152,2026,,2026
227,Chemin de la-Californie 29,Collonge-Bellerive,Appartement,462.9,5300000,11449,2024,,2024
228,Chemin du Clos-Alpestre 10,Collonge-Bellerive,Maison individuelle,912.0,5190000,5691,2024,,2024
229,Chemin de Charvel 9b,Collonge-Bellerive,Maison individuelle,716.0,4600000,6425,2026,,2026
230,Chemin de Charvel 9a,Collonge-Bellerive,Maison individuelle,480.0,4600000,9583,2025,,2025
231,"Route d'Hermance 27, 27a",Collonge-Bellerive,Appartement,343.9,4300000,12505,2024,,2024
232,Chemin des Gotettes 66b,Collonge-Bellerive,Maison individuelle,692.0,3850000,5564,2025,,2025
233,Chemin de Mancy 14,Collonge-Bellerive,Maison individuelle,663.0,3850000,5807,2025,,2025
234,Chemin des Tattes 18d,Collonge-Bellerive,Maison individuelle,434.0,3350000,7719,2025,,2025
235,Route de Thonon 137,Collonge-Bellerive,Appartement,186.0,3250000,17470,2024,,2024
236,Chemin de Mancy 3i,Collonge-Bellerive,Maison individuelle,524.0,3100000,5916,2022,,2022
237,Chemin de la-Californie 38,Collonge-Bellerive,Maison individuelle,273.0,3050000,11172,2025,,2025
238,Route d'Hermance 29b,Collonge-Bellerive,Maison individuelle,295.0,2700000,9153,2024,,2024
239,Chemin de la-Californie 29,Collonge-Bellerive,Appartement,293.1,2620000,8940,2023,,2023
240,Chemin de la-Californie 29,Collonge-Bellerive,Appartement,293.1,2560000,8735,2023,,2023
241,Route de Thonon 69,Collonge-Bellerive,Appartement,200.8,2525000,12577,2025,,2025
242,Route d'Hermance 29,Collonge-Bellerive,Maison individuelle,327.0,2500000,7645,2024,,2024
243,Chemin de la Vigneraie 14,Collonge-Bellerive,Maison individuelle,142.0,2450000,17254,2025,,2025
244,Chemin de la-Californie 29,Collonge-Bellerive,Appartement,293.1,2430000,8291,2023,,2023
245,Route de Thonon 137,Collonge-Bellerive,Appartement,185.1,2400000,12968,2022,,2022
246,Chemin de Charvel 4f,Collonge-Bellerive,Maison individuelle,381.0,2300000,6037,2024,,2024
247,Chemin de la Vigneraie 16,Collonge-Bellerive,Maison individuelle,179.0,2250000,12570,2024,,2024
248,Chemin de la Plantée-du-Chêne 13,Collonge-Bellerive,Maison individuelle,350.1,2220000,6340,2025,,2025
249,"Route d'Hermance 18, 18a",Collonge-Bellerive,Appartement,230.6,2200000,9539,2025,,2025
250,Chemin de la Gabiule 74,Collonge-Bellerive,Maison individuelle,367.0,2150000,5858,2025,,2025
251,Chemin Albert-Dufour 12,Collonge-Bellerive,Appartement,139.5,2150000,15409,2023,,2023
252,Chemin de la-Californie 29,Collonge-Bellerive,Appartement,221.9,2140000,9646,2023,,2023
253,"Route de Thonon 134, 136, 136a",Collonge-Bellerive,Appartement,173.0,2050000,11849,2023,,2023
254,Chemin de la-Californie 29,Collonge-Bellerive,Appartement,221.9,2040000,9195,2023,,2023
255,Chemin du Pré-de-la-Croix 5,Collonge-Bellerive,Appartement,148.6,1860000,12517,2024,,2024
256,"Route de Thonon 134, 136, 136a",Collonge-Bellerive,Appartement,141.0,1775000,12591,2024,,2024
257,Chemin du Pré-de-la-Croix 13,Collonge-Bellerive,Appartement,138.2,1760000,12738,2025,,2025
258,"Route d'Hermance 27, 27a",Collonge-Bellerive,Appartement,99.0,1750000,17680,2025,,2025
259,Chemin Albert-Dufour 12,Collonge-Bellerive,Appartement,138.6,1525000,11002,2022,,2022
260,"Chemin du Pré-d'Orsat 1, 3, 5, 7, 9, 11, 1a",Collonge-Bellerive,Appartement,110.4,1050000,9507,2024,,2024
261,Chemin de la Praly 9,Collonge-Bellerive,Maison individuelle,2290.0,17000000,7424,2023,,2023
262,Chemin Byron 7,Cologny,Maison individuelle,1204.0,18000000,14950,2021,,2021
263,Chemin du Nant-d'Argent 55,Cologny,Maison individuelle,3146.0,18030000,5731,2022,,2022
264,Route de Thonon 7a,Cologny,Maison individuelle,1266.0,19200000,15166,2021,,2021
